type;position;n;time;comps
coefficient;random;32000;0.060137;1.828170
normal;beginning;33000;0.920000;27.400000
normal;middle;33000;0.860000;27.520000
normal;end;33000;0.880000;26.640000
normal;nowhere;33000;0.800000;30.000000
normal;random;33000;0.900000;27.280000
coefficient;beginning;33000;0.061292;1.825428
coefficient;middle;33000;0.057294;1.833423
coefficient;end;33000;0.058627;1.774796
coefficient;nowhere;33000;0.053297;1.998644
coefficient;random;33000;0.059959;1.817433
normal;beginning;34000;0.860000;27.720000
normal;middle;34000;0.920000;26.920000
normal;end;34000;0.880000;27.520000
normal;nowhere;34000;0.840000;30.000000
normal;random;34000;0.940000;27.320000
coefficient;beginning;34000;0.057131;1.841463
coefficient;middle;34000;0.061116;1.788318
coefficient;end;34000;0.058459;1.828177
coefficient;nowhere;34000;0.055802;1.992925
coefficient;random;34000;0.062445;1.814891
normal;beginning;35000;0.840000;27.720000
normal;middle;35000;0.880000;27.160000
normal;end;35000;0.840000;27.240000
normal;nowhere;35000;0.840000;30.000000
normal;random;35000;0.880000;27.440000
coefficient;beginning;35000;0.055647;1.836361
coefficient;middle;35000;0.058297;1.799263
coefficient;end;35000;0.055647;1.804563
coefficient;nowhere;35000;0.055647;1.987404
coefficient;random;35000;0.058297;1.817812
normal;beginning;36000;0.880000;28.120000
normal;middle;36000;0.900000;26.880000
normal;end;36000;0.840000;27.360000
normal;nowhere;36000;0.840000;30.000000
normal;random;36000;0.900000;27.200000
coefficient;beginning;36000;0.058141;1.857858
coefficient;middle;36000;0.059462;1.775933
coefficient;end;36000;0.055498;1.807646
coefficient;nowhere;36000;0.055498;1.982068
coefficient;random;36000;0.059462;1.797075
normal;beginning;37000;0.920000;27.440000
normal;middle;37000;0.860000;27.240000
normal;end;37000;0.880000;27.360000
normal;nowhere;37000;0.800000;30.000000
normal;random;37000;0.960000;26.280000
coefficient;beginning;37000;0.060625;1.808209
coefficient;middle;37000;0.056671;1.795030
coefficient;end;37000;0.057989;1.802937
coefficient;nowhere;37000;0.052717;1.976905
coefficient;random;37000;0.063261;1.731769
normal;beginning;38000;0.900000;27.280000
normal;middle;38000;0.900000;27.560000
normal;end;38000;0.920000;27.640000
normal;nowhere;38000;0.820000;30.000000
normal;random;38000;0.920000;26.800000
coefficient;beginning;38000;0.059157;1.793119
coefficient;middle;38000;0.059157;1.811524
coefficient;end;38000;0.060472;1.816782
coefficient;nowhere;38000;0.053899;1.971905
coefficient;random;38000;0.060472;1.761569
normal;beginning;39000;0.860000;27.400000
normal;middle;39000;0.920000;27.640000
normal;end;39000;0.880000;27.120000
normal;nowhere;39000;0.780000;30.000000
normal;random;39000;0.920000;27.280000
coefficient;beginning;39000;0.056389;1.796582
coefficient;middle;39000;0.060323;1.812318
coefficient;end;39000;0.057700;1.778222
coefficient;nowhere;39000;0.051144;1.967060
coefficient;random;39000;0.060323;1.788713
normal;beginning;40000;0.940000;27.400000
normal;middle;40000;0.880000;27.880000
normal;end;40000;0.860000;28.480000
normal;nowhere;40000;0.800000;30.000000
normal;random;40000;0.940000;28.000000
coefficient;beginning;40000;0.061487;1.792289
coefficient;middle;40000;0.057563;1.823687
coefficient;end;40000;0.056254;1.862934
coefficient;nowhere;40000;0.052330;1.962360
coefficient;random;40000;0.061487;1.831536
normal;beginning;41000;1.080000;27.640000
normal;middle;41000;0.940000;28.120000
normal;end;41000;0.900000;28.520000
normal;nowhere;41000;0.820000;30.000000
normal;random;41000;0.980000;28.160000
coefficient;beginning;41000;0.070481;1.803785
coefficient;middle;41000;0.061344;1.835110
coefficient;end;41000;0.058734;1.861213
coefficient;nowhere;41000;0.053513;1.957798
coefficient;random;41000;0.063955;1.837720
normal;beginning;42000;0.940000;28.080000
normal;middle;42000;0.920000;28.200000
normal;end;42000;0.880000;28.320000
normal;nowhere;42000;0.800000;30.000000
normal;random;42000;0.920000;28.400000
coefficient;beginning;42000;0.061205;1.828351
coefficient;middle;42000;0.059903;1.836164
coefficient;end;42000;0.057299;1.843978
