type;n;k;comps;swaps;
insertion;80;100;1479;1400;
insertion;80;100;1642;1563;
insertion;80;100;1662;1583;
insertion;80;100;1630;1551;
insertion;80;100;1562;1483;
insertion;80;100;1611;1532;
insertion;80;100;1672;1593;
insertion;80;100;1521;1442;
insertion;80;100;1413;1334;
insertion;80;100;1730;1651;
insertion;80;100;1660;1581;
insertion;80;100;1694;1615;
insertion;80;100;1565;1486;
insertion;80;100;1562;1483;
insertion;80;100;1674;1595;
insertion;80;100;1671;1592;
insertion;80;100;1811;1732;
insertion;80;100;1624;1545;
insertion;80;100;1807;1728;
insertion;80;100;1632;1553;
insertion;80;100;1720;1641;
insertion;80;100;1633;1554;
insertion;80;100;1736;1657;
insertion;80;100;1775;1696;
insertion;80;100;1432;1353;
insertion;80;100;1502;1423;
insertion;80;100;1674;1595;
insertion;80;100;1722;1643;
