type;n;avg_comparisons;avg_swaps;
insertion;1370;470923.380000;469554.380000;
hybrid;1370;16461.160000;8771.960000;
quick;1380;16029.680000;9137.220000;
insertion;1380;478457.560000;477078.560000;
hybrid;1380;16373.540000;8755.500000;
quick;1390;16118.040000;9318.640000;
insertion;1390;485231.400000;483842.400000;
hybrid;1390;16484.460000;8965.100000;
quick;1400;16539.260000;9434.500000;
insertion;1400;489845.080000;488446.080000;
hybrid;1400;16905.760000;9082.100000;
quick;1410;16455.420000;9324.940000;
insertion;1410;496373.720000;494964.720000;
hybrid;1410;16813.360000;8946.260000;
quick;1420;16757.440000;9487.440000;
insertion;1420;504375.160000;502956.160000;
hybrid;1420;17109.420000;9104.580000;
quick;1430;16756.520000;9412.500000;
insertion;1430;513507.440000;512078.440000;
hybrid;1430;17122.920000;9040.420000;
quick;1440;16736.780000;9591.900000;
insertion;1440;518622.840000;517183.840000;
hybrid;1440;17111.100000;9224.960000;
quick;1450;17074.620000;9847.900000;
insertion;1450;527543.940000;526094.940000;
hybrid;1450;17446.120000;9476.960000;
quick;1460;17186.000000;9633.640000;
insertion;1460;532162.860000;530703.860000;
hybrid;1460;17560.660000;9254.220000;
quick;1470;17296.940000;9830.180000;
insertion;1470;540448.640000;538979.640000;
hybrid;1470;17670.400000;9437.100000;
quick;1480;17110.960000;9854.000000;
insertion;1480;549530.420000;548051.420000;
hybrid;1480;17485.880000;9463.900000;
quick;1490;17481.860000;9735.060000;
insertion;1490;554132.660000;552643.660000;
hybrid;1490;17862.860000;9349.220000;
quick;1500;17770.320000;10121.620000;
insertion;1500;564449.180000;562950.180000;
hybrid;1500;18158.220000;9731.500000;
quick;1510;17661.460000;10044.060000;
insertion;1510;571092.600000;569583.600000;
hybrid;1510;18040.300000;9632.600000;
quick;1520;18207.480000;10208.420000;
insertion;1520;579473.700000;577954.700000;
hybrid;1520;18601.040000;9818.420000;
quick;1530;18030.280000;10262.620000;
insertion;1530;586276.040000;584747.040000;
hybrid;1530;18411.820000;9848.000000;
quick;1540;18171.620000;10423.280000;
insertion;1540;592219.600000;590680.600000;
hybrid;1540;18579.260000;10032.500000;
quick;1550;18822.040000;10762.160000;
insertion;1550;600450.300000;598901.300000;
hybrid;1550;19222.880000;10362.400000;
quick;1560;18570.620000;10616.340000;
insertion;1560;608609.360000;607050.360000;
hybrid;1560;18972.660000;10198.460000;
quick;1570;18660.120000;10527.600000;
insertion;1570;616183.340000;614614.340000;
hybrid;1570;19069.640000;10121.800000;
quick;1580;18628.780000;10459.640000;
insertion;1580;626254.580000;624675.580000;
hybrid;1580;19042.400000;10053.460000;
quick;1590;18873.300000;10873.200000;
insertion;1590;632102.820000;630513.820000;
hybrid;1590;19275.520000;10437.860000;
quick;1600;19276.400000;10834.780000;
insertion;1600;640540.380000;638941.380000;
hybrid;1600;19686.040000;10422.300000;
quick;1610;18825.060000;10561.000000;
insertion;1610;650042.040000;648433.040000;
hybrid;1610;19239.120000;10139.960000;
quick;1620;19544.120000;10887.120000;
insertion;1620;655983.300000;654364.300000;
hybrid;1620;19962.980000;10472.860000;
quick;1630;19701.480000;11109.940000;
insertion;1630;665025.660000;663396.660000;
hybrid;1630;20112.940000;10674.480000;
quick;1640;19734.520000;11202.380000;
insertion;1640;672754.780000;671115.780000;
hybrid;1640;20153.720000;10774.600000;
quick;1650;19733.420000;11235.400000;
insertion;1650;683702.460000;682053.460000;
hybrid;1650;20143.460000;10769.720000;
quick;1660;19959.140000;11400.760000;
insertion;1660;690665.780000;689006.780000;
hybrid;1660;20375.180000;10952.760000;
quick;1670;19924.280000;11444.400000;
insertion;1670;697311.440000;695642.440000;
hybrid;1670;20346.620000;10999.720000;
quick;1680;20255.220000;11243.840000;
insertion;1680;708638.780000;706959.780000;
hybrid;1680;20687.620000;10813.760000;
quick;1690;20235.060000;11317.160000;
insertion;1690;714315.540000;712626.540000;
hybrid;1690;20678.400000;10878.520000;
quick;1700;20340.840000;11585.760000;
insertion;1700;726177.420000;724478.420000;
hybrid;1700;20769.040000;11122.440000;
quick;1710;20358.620000;11364.060000;
insertion;1710;732014.180000;730305.180000;
hybrid;1710;20805.080000;10925.360000;
