type;data;n;time;comps;swaps
quickSortSelect;random;6000;2513.230000;257010.470000;104567.390000
quickSort;random;6000;913.450000;87784.480000;49013.170000
quickSortSelect;worst;6000;1373.790000;261973.000000;38352.000000
quickSort;worst;6000;137498.280000;17997000.000000;18002999.000000
quickSortSelect;random;6100;2567.720000;262514.070000;106356.670000
quickSort;random;6100;930.960000;89628.990000;49548.540000
quickSortSelect;worst;6100;1399.450000;266783.000000;38877.000000
quickSort;worst;6100;142707.550000;18601950.000000;18608049.000000
quickSortSelect;random;6200;2608.060000;268606.310000;108577.400000
quickSort;random;6200;950.150000;90157.040000;50105.310000
quickSortSelect;worst;6200;1427.460000;271755.000000;39552.000000
quickSort;worst;6200;147266.030000;19216900.000000;19223099.000000
quickSortSelect;random;6300;2695.970000;273234.220000;110475.870000
quickSort;random;6300;972.750000;91505.340000;51202.640000
quickSortSelect;worst;6300;1491.530000;279235.000000;43107.000000
quickSort;worst;6300;151688.700000;19841850.000000;19848149.000000
quickSortSelect;random;6400;2691.210000;278936.650000;112478.430000
quickSort;random;6400;986.590000;94777.840000;52095.200000
quickSortSelect;worst;6400;1498.340000;283699.000000;43632.000000
quickSort;worst;6400;156907.830000;20476800.000000;20483199.000000
quickSortSelect;random;6500;2752.850000;282644.180000;114402.850000
quickSort;random;6500;998.870000;95425.500000;52452.910000
quickSortSelect;worst;6500;1523.200000;288227.000000;44211.000000
quickSort;worst;6500;161426.940000;21121750.000000;21128249.000000
quickSortSelect;random;6600;2810.270000;287932.090000;116140.370000
quickSort;random;6600;1022.650000;97124.550000;54078.510000
quickSortSelect;worst;6600;1568.210000;292599.000000;44736.000000
quickSort;worst;6600;168136.980000;21776700.000000;21783299.000000
quickSortSelect;random;6700;2828.180000;292722.460000;118563.180000
quickSort;random;6700;1029.860000;98380.000000;54696.010000
quickSortSelect;worst;6700;1569.580000;297441.000000;45286.000000
quickSort;worst;6700;171568.600000;22441650.000000;22448349.000000
quickSortSelect;random;6800;2878.120000;297538.450000;120413.490000
quickSort;random;6800;1049.660000;100595.000000;55592.550000
quickSortSelect;worst;6800;1602.510000;302262.000000;45834.000000
quickSort;worst;6800;176597.140000;23116600.000000;23123399.000000
quickSortSelect;random;6900;2923.180000;301838.200000;122415.810000
quickSort;random;6900;1066.760000;102461.590000;56184.670000
quickSortSelect;worst;6900;1620.490000;307456.000000;46990.000000
quickSort;worst;6900;182097.990000;23801550.000000;23808449.000000
quickSortSelect;random;7000;2972.870000;306429.520000;124225.570000
quickSort;random;7000;1080.720000;103788.130000;57417.950000
quickSortSelect;worst;7000;1646.540000;311857.000000;47444.000000
quickSort;worst;7000;187289.150000;24496500.000000;24503499.000000
quickSortSelect;random;7100;3016.970000;311473.360000;126299.160000
quickSort;random;7100;1103.710000;105344.350000;58260.610000
quickSortSelect;worst;7100;1680.060000;316356.000000;48094.000000
quickSort;worst;7100;192815.560000;25201450.000000;25208549.000000
quickSortSelect;random;7200;3062.520000;316512.480000;128378.560000
quickSort;random;7200;1120.000000;107577.580000;59683.770000
quickSortSelect;worst;7200;1699.320000;321386.000000;49269.000000
quickSort;worst;7200;197991.940000;25916400.000000;25923599.000000
quickSortSelect;random;7300;3147.810000;321014.470000;130279.560000
quickSort;random;7300;1158.910000;110043.980000;61187.380000
quickSortSelect;worst;7300;1743.250000;326079.000000;49692.000000
quickSort;worst;7300;203591.470000;26641350.000000;26648649.000000
quickSortSelect;random;7400;3162.510000;327028.320000;132556.350000
quickSort;random;7400;1153.300000;111382.110000;61048.860000
quickSortSelect;worst;7400;1744.400000;330934.000000;50342.000000
quickSort;worst;7400;208959.400000;27376300.000000;27383699.000000
quickSortSelect;random;7500;3229.510000;332309.420000;134622.910000
quickSort;random;7500;1178.330000;112757.650000;62397.510000
quickSortSelect;worst;7500;1772.910000;335748.000000;50923.000000
quickSort;worst;7500;214848.060000;28121250.000000;28128749.000000
quickSortSelect;random;7600;3260.660000;336863.290000;136497.730000
quickSort;random;7600;1194.980000;114279.010000;63907.020000
quickSortSelect;worst;7600;1793.540000;340613.000000;51952.000000
quickSort;worst;7600;220574.900000;28876200.000000;28883799.000000
quickSortSelect;random;7700;3313.220000;342796.080000;138653.410000
quickSort;random;7700;1213.150000;116717.590000;65121.790000
quickSortSelect;worst;7700;1815.920000;345144.000000;52627.000000
quickSort;worst;7700;227151.370000;29641150.000000;29648849.000000
quickSortSelect;random;7800;3430.320000;347994.940000;140519.460000
quickSort;random;7800;1250.210000;116874.560000;64600.090000
quickSortSelect;worst;7800;1872.240000;349637.000000;53177.000000
quickSort;worst;7800;236479.230000;30416100.000000;30423899.000000
quickSortSelect;random;7900;3441.950000;351429.870000;142238.700000
quickSort;random;7900;1245.770000;119350.720000;65903.790000
quickSortSelect;worst;7900;1863.410000;354124.000000;53575.000000
quickSort;worst;7900;239404.790000;31201050.000000;31208949.000000
quickSortSelect;random;8000;3460.590000;356692.670000;144719.560000
quickSort;random;8000;1255.730000;121101.080000;66303.150000
quickSortSelect;worst;8000;1881.900000;358936.000000;54156.000000
quickSort;worst;8000;245342.560000;31996000.000000;32003999.000000
quickSortSelect;random;8100;3533.100000;361129.800000;146747.510000
quickSort;random;8100;1277.250000;122759.950000;67760.080000
quickSortSelect;worst;8100;1940.930000;363876.000000;54806.000000
quickSort;worst;8100;251190.310000;32800950.000000;32809049.000000
quickSortSelect;random;8200;3555.510000;366101.820000;148763.860000
quickSort;random;8200;1287.490000;123549.610000;67799.170000
quickSortSelect;worst;8200;1938.160000;368655.000000;55229.000000
quickSort;worst;8200;258282.050000;33615900.000000;33624099.000000
quickSortSelect;random;8300;3605.630000;371263.800000;150716.910000
quickSort;random;8300;1318.440000;126546.870000;70327.950000
quickSortSelect;worst;8300;1964.700000;373845.000000;55779.000000
quickSort;worst;8300;264069.100000;34440850.000000;34449149.000000
quickSortSelect;random;8400;3658.880000;376250.350000;152677.220000
quickSort;random;8400;1339.010000;127427.130000;70037.090000
quickSortSelect;worst;8400;2003.850000;379139.000000;56429.000000
quickSort;worst;8400;271296.920000;35275800.000000;35284199.000000
quickSortSelect;random;8500;3691.930000;381012.950000;154854.760000
quickSort;random;8500;1352.320000;129755.510000;71994.530000
quickSortSelect;worst;8500;2014.500000;384443.000000;57514.000000
quickSort;worst;8500;277129.390000;36120750.000000;36129249.000000
quickSortSelect;random;8600;3742.410000;385641.930000;156899.900000
quickSort;random;8600;1357.550000;130531.040000;71289.250000
quickSortSelect;worst;8600;2053.750000;389253.000000;58039.000000
quickSort;worst;8600;283357.360000;36975700.000000;36984299.000000
quickSortSelect;random;8700;3801.730000;390985.240000;158972.210000
quickSort;random;8700;1379.960000;133560.250000;73628.670000
quickSortSelect;worst;8700;2059.800000;394225.000000;58714.000000
quickSort;worst;8700;289682.480000;37840650.000000;37849349.000000
quickSortSelect;random;8800;3830.960000;396306.280000;161106.700000
quickSort;random;8800;1403.980000;135630.410000;75888.430000
quickSortSelect;worst;8800;2093.830000;399543.000000;59762.000000
quickSort;worst;8800;296345.770000;38715600.000000;38724399.000000
quickSortSelect;random;8900;3895.320000;401073.640000;163289.290000
quickSort;random;8900;1423.270000;136747.570000;75255.690000
quickSortSelect;worst;8900;2128.430000;404706.000000;60287.000000
quickSort;worst;8900;303473.800000;39600550.000000;39609449.000000
quickSortSelect;random;9000;3929.000000;406109.140000;165221.550000
quickSort;random;9000;1440.210000;138590.760000;76437.360000
quickSortSelect;worst;9000;2146.870000;409935.000000;60866.000000
quickSort;worst;9000;310664.050000;40495500.000000;40504499.000000
quickSortSelect;random;9100;3985.290000;410795.240000;167277.390000
quickSort;random;9100;1456.720000;139728.180000;76955.700000
quickSortSelect;worst;9100;2171.880000;415388.000000;62022.000000
quickSort;worst;9100;317115.090000;41400450.000000;41409549.000000
quickSortSelect;random;9200;4064.220000;416411.280000;169211.120000
quickSort;random;9200;1470.610000;141387.430000;77459.210000
quickSortSelect;worst;9200;2216.480000;420230.000000;62572.000000
quickSort;worst;9200;323651.580000;42315400.000000;42324599.000000
quickSortSelect;random;9300;4069.740000;420953.530000;171716.950000
quickSort;random;9300;1484.110000;143527.980000;79076.030000
quickSortSelect;worst;9300;2226.980000;425051.000000;63120.000000
quickSort;worst;9300;330844.090000;43240350.000000;43249649.000000
quickSortSelect;random;9400;4152.480000;425896.790000;173599.470000
quickSort;random;9400;1508.720000;145236.880000;80208.280000
quickSortSelect;worst;9400;2244.160000;429776.000000;63645.000000
quickSort;worst;9400;338803.450000;44175300.000000;44184699.000000
quickSortSelect;random;9500;4176.980000;432198.250000;175481.910000
quickSort;random;9500;1527.320000;148190.700000;82113.830000
quickSortSelect;worst;9500;2280.980000;434877.000000;64099.000000
quickSort;worst;9500;345088.210000;45120250.000000;45129749.000000
quickSortSelect;random;9600;4243.920000;437294.090000;177669.370000
quickSort;random;9600;1561.200000;150518.470000;82648.190000
quickSortSelect;worst;9600;2306.530000;440075.000000;64749.000000
quickSort;worst;9600;352473.770000;46075200.000000;46084799.000000
quickSortSelect;random;9700;4263.110000;442399.200000;179932.740000
quickSort;random;9700;1567.270000;151410.170000;84048.530000
quickSortSelect;worst;9700;2341.870000;445180.000000;65299.000000
quickSort;worst;9700;359954.520000;47040150.000000;47049849.000000
quickSortSelect;random;9800;4363.640000;448087.720000;182063.560000
quickSort;random;9800;1578.880000;152359.120000;83802.940000
quickSortSelect;worst;9800;2352.790000;450574.000000;65728.000000
quickSort;worst;9800;368981.250000;48015100.000000;48024899.000000
quickSortSelect;random;9900;4423.890000;453181.280000;184058.450000
quickSort;random;9900;1635.960000;154704.410000;85835.830000
quickSortSelect;worst;9900;2420.840000;456129.000000;66378.000000
quickSort;worst;9900;378880.850000;49000050.000000;49009949.000000
quickSortSelect;random;10000;4416.250000;458288.330000;186103.250000
quickSort;random;10000;1610.090000;155365.530000;86538.320000
quickSortSelect;worst;10000;2400.070000;461642.000000;66953.000000
quickSort;worst;10000;382332.100000;49995000.000000;50004999.000000
