type;position;n;time;comps
coefficient;end;34000;0.058459;1.801605
coefficient;nowhere;34000;0.054473;1.992925
coefficient;random;34000;0.085031;1.814891
normal;beginning;35000;0.860000;28.040000
normal;middle;35000;0.880000;27.400000
normal;end;35000;0.860000;27.720000
normal;nowhere;35000;0.760000;30.000000
normal;random;35000;0.920000;27.440000
coefficient;beginning;35000;0.056972;1.857560
coefficient;middle;35000;0.058297;1.815162
coefficient;end;35000;0.056972;1.836361
coefficient;nowhere;35000;0.050348;1.987404
coefficient;random;35000;0.060947;1.817812
normal;beginning;36000;0.820000;27.560000
normal;middle;36000;0.840000;26.720000
normal;end;36000;0.900000;27.680000
normal;nowhere;36000;0.780000;30.000000
normal;random;36000;0.980000;27.200000
coefficient;beginning;36000;0.054177;1.820859
coefficient;middle;36000;0.055498;1.765362
coefficient;end;36000;0.059462;1.828788
coefficient;nowhere;36000;0.051534;1.982068
coefficient;random;36000;0.064748;1.797075
normal;beginning;37000;0.840000;27.720000
normal;middle;37000;0.880000;28.600000
normal;end;37000;0.860000;27.800000
normal;nowhere;37000;0.840000;30.000000
normal;random;37000;0.900000;26.280000
coefficient;beginning;37000;0.055353;1.826660
coefficient;middle;37000;0.057989;1.884649
coefficient;end;37000;0.056671;1.831932
coefficient;nowhere;37000;0.055353;1.976905
coefficient;random;37000;0.059307;1.731769
normal;beginning;38000;0.820000;27.480000
normal;middle;38000;0.900000;28.240000
normal;end;38000;0.780000;27.080000
normal;nowhere;38000;0.900000;30.000000
normal;random;38000;0.900000;26.800000
coefficient;beginning;38000;0.053899;1.806265
coefficient;middle;38000;0.059157;1.856220
coefficient;end;38000;0.051270;1.779973
coefficient;nowhere;38000;0.059157;1.971905
coefficient;random;38000;0.059157;1.761569
normal;beginning;39000;0.840000;27.560000
normal;middle;39000;0.900000;26.640000
normal;end;39000;0.820000;27.960000
normal;nowhere;39000;1.220000;30.000000
normal;random;39000;0.920000;27.280000
coefficient;beginning;39000;0.055078;1.807073
coefficient;middle;39000;0.059012;1.746749
coefficient;end;39000;0.053766;1.833300
coefficient;nowhere;39000;0.079994;1.967060
coefficient;random;39000;0.060323;1.788713
normal;beginning;40000;1.120000;27.200000
normal;middle;40000;1.060000;27.120000
normal;end;40000;1.180000;27.640000
normal;nowhere;40000;1.020000;30.000000
normal;random;40000;1.360000;28.000000
coefficient;beginning;40000;0.073261;1.779207
coefficient;middle;40000;0.069337;1.773974
coefficient;end;40000;0.077186;1.807988
coefficient;nowhere;40000;0.066720;1.962360
coefficient;random;40000;0.088960;1.831536
normal;beginning;41000;1.900000;27.720000
normal;middle;41000;1.680000;27.240000
normal;end;41000;1.720000;27.440000
normal;nowhere;41000;1.440000;30.000000
normal;random;41000;2.200000;28.160000
coefficient;beginning;41000;0.123994;1.809006
coefficient;middle;41000;0.109637;1.777681
coefficient;end;41000;0.112247;1.790733
coefficient;nowhere;41000;0.093974;1.957798
coefficient;random;41000;0.143572;1.837720
normal;beginning;42000;1.540000;27.880000
normal;middle;42000;1.300000;27.360000
normal;end;42000;1.280000;28.400000
normal;nowhere;42000;2.780000;30.000000
normal;random;42000;1.860000;28.400000
coefficient;beginning;42000;0.100273;1.815329
coefficient;middle;42000;0.084646;1.781470
coefficient;end;42000;0.083344;1.849187
coefficient;nowhere;42000;0.181012;1.953366
coefficient;random;42000;0.121109;1.849187
normal;beginning;43000;1.220000;28.160000
normal;middle;43000;1.200000;27.320000
normal;end;43000;1.220000;28.000000
normal;nowhere;43000;1.100000;30.000000
normal;random;43000;1.500000;27.320000
coefficient;beginning;43000;0.079262;1.829516
coefficient;middle;43000;0.077962;1.774942
coefficient;end;43000;0.079262;1.819121
coefficient;nowhere;43000;0.071465;1.949058
coefficient;random;43000;0.097453;1.774942
normal;beginning;44000;1.200000;27.240000
normal;middle;44000;1.320000;27.440000
normal;end;44000;1.200000;27.440000
normal;nowhere;44000;1.200000;30.000000
normal;random;44000;1.360000;26.800000
coefficient;beginning;44000;0.077795;1.765940
coefficient;middle;44000;0.085574;1.778905
coefficient;end;44000;0.077795;1.778905
coefficient;nowhere;44000;0.077795;1.944867
coefficient;random;44000;0.088167;1.737415
normal;beginning;45000;1.000000;27.520000
normal;middle;45000;1.120000;28.280000
normal;end;45000;1.060000;28.240000
normal;nowhere;45000;1.100000;30.000000
normal;random;45000;1.240000;28.240000
coefficient;beginning;45000;0.064693;1.780350
coefficient;middle;45000;0.072456;1.829516
coefficient;end;45000;0.068575;1.826929
coefficient;nowhere;45000;0.071162;1.940788
coefficient;random;45000;0.080219;1.826929
normal;beginning;46000;1.180000;28.040000
normal;middle;46000;1.220000;28.040000
normal;end;46000;1.140000;27.840000
normal;nowhere;46000;1.140000;30.000000
normal;random;46000;1.500000;27.600000
coefficient;beginning;46000;0.076181;1.810277
coefficient;middle;46000;0.078764;1.810277
coefficient;end;46000;0.073599;1.797364
coefficient;nowhere;46000;0.073599;1.936815
coefficient;random;46000;0.096841;1.781870
normal;beginning;47000;1.020000;27.960000
normal;middle;47000;1.020000;28.320000
normal;end;47000;0.960000;28.360000
normal;nowhere;47000;0.920000;30.000000
normal;random;47000;1.380000;28.160000
coefficient;beginning;47000;0.065720;1.801503
coefficient;middle;47000;0.065720;1.824698
coefficient;end;47000;0.061854;1.827276
coefficient;nowhere;47000;0.059277;1.932943
coefficient;random;47000;0.088915;1.814389
normal;beginning;48000;0.980000;28.320000
normal;middle;48000;1.020000;28.440000
normal;end;48000;0.960000;28.000000
normal;nowhere;48000;0.820000;30.000000
normal;random;48000;1.220000;28.440000
coefficient;beginning;48000;0.063019;1.821134
coefficient;middle;48000;0.065592;1.828851
coefficient;end;48000;0.061733;1.800557
coefficient;nowhere;48000;0.052731;1.929168
coefficient;random;48000;0.078453;1.828851
normal;beginning;49000;1.080000;27.600000
normal;middle;49000;1.000000;28.960000
normal;end;49000;1.020000;28.440000
normal;nowhere;49000;0.840000;30.000000
normal;random;49000;1.220000;28.320000
coefficient;beginning;49000;0.069317;1.771446
coefficient;middle;49000;0.064183;1.858734
coefficient;end;49000;0.065466;1.825359
coefficient;nowhere;49000;0.053914;1.925485
coefficient;random;49000;0.078303;1.817657
normal;beginning;50000;1.120000;28.640000
normal;middle;50000;1.220000;29.000000
normal;end;50000;1.020000;28.520000
normal;nowhere;50000;1.100000;30.000000
normal;random;50000;1.220000;28.680000
coefficient;beginning;50000;0.071751;1.834764
coefficient;middle;50000;0.078157;1.857826
coefficient;end;50000;0.065344;1.827076
coefficient;nowhere;50000;0.070469;1.921889
coefficient;random;50000;0.078157;1.837326
normal;beginning;51000;0.980000;28.640000
normal;middle;51000;1.040000;28.200000
normal;end;51000;1.020000;28.200000
normal;nowhere;51000;0.940000;30.000000
normal;random;51000;1.280000;28.160000
coefficient;beginning;51000;0.062667;1.831412
coefficient;middle;51000;0.066504;1.803275
coefficient;end;51000;0.065225;1.803275
coefficient;nowhere;51000;0.060109;1.918378
coefficient;random;51000;0.081851;1.800718
normal;beginning;52000;1.000000;29.160000
normal;middle;52000;1.160000;28.760000
normal;end;52000;0.980000;28.280000
normal;nowhere;52000;0.980000;30.000000
normal;random;52000;1.320000;28.960000
coefficient;beginning;52000;0.063832;1.861329
coefficient;middle;52000;0.074045;1.835797
coefficient;end;52000;0.062555;1.805157
coefficient;nowhere;52000;0.062555;1.914948
coefficient;random;52000;0.084258;1.848563
normal;beginning;53000;1.080000;29.040000
normal;middle;53000;1.060000;28.880000
normal;end;53000;1.060000;28.600000
normal;nowhere;53000;1.000000;30.000000
normal;random;53000;1.180000;28.160000
coefficient;beginning;53000;0.068817;1.850423
