type;n;comps;swaps
randomSelect;22400;67032.74;33716.22
select;22500;212034.9;103636.62
randomSelect;22500;74655.34;37979.16
select;22600;212643.98;104611.88
randomSelect;22600;67586.34;32734.38
select;22700;214585.96;105081.54
randomSelect;22700;67463.06;31399.48
select;22800;215281.02;104739.58
randomSelect;22800;65924.86;33058.36
select;22900;215846.2;105793.54
randomSelect;22900;73365.18;35339.44
select;23000;216743.42;106042.5
randomSelect;23000;70566.94;35669.46
select;23100;215687.46;106036.5
randomSelect;23100;63899.82;31730.28
select;23200;218763.14;107004.66
randomSelect;23200;71828.4;36221.44
select;23300;220218.2;106966.52
randomSelect;23300;70051.74;35936.62
select;23400;220602.64;107555.46
randomSelect;23400;76227.3;38381.94
select;23500;222501.12;108380.0
randomSelect;23500;73214.52;41078.42
select;23600;223415.56;108761.68
randomSelect;23600;65091.52;31167.08
select;23700;226679.82;109831.12
randomSelect;23700;70994.26;34535.54
select;23800;224211.48;110153.44
randomSelect;23800;70702.66;33676.14
select;23900;225018.1;110118.52
randomSelect;23900;69582.7;34584.96
select;24000;226827.52;110764.62
randomSelect;24000;65472.86;33583.96
select;24100;228526.06;111428.26
randomSelect;24100;69352.48;35601.88
select;24200;229386.5;111769.9
randomSelect;24200;70284.5;34990.44
select;24300;230134.98;112576.82
randomSelect;24300;72681.62;39117.54
select;24400;230456.02;112994.88
randomSelect;24400;77896.68;38851.24
select;24500;231797.12;113457.82
randomSelect;24500;73221.5;38585.98
select;24600;234474.52;113457.02
randomSelect;24600;74823.56;37640.9
select;24700;236181.98;114339.02
randomSelect;24700;75263.12;36484.32
select;24800;234235.68;114528.64
randomSelect;24800;70627.44;34367.78
select;24900;236375.62;115605.42
randomSelect;24900;77637.32;37639.78
select;25000;237375.4;116000.78
randomSelect;25000;72999.62;36117.8
select;25100;237461.82;116011.98
randomSelect;25100;77400.26;40635.04
select;25200;240207.92;116681.02
randomSelect;25200;80349.86;40637.96
select;25300;239212.84;116910.4
randomSelect;25300;74383.66;40667.28
select;25400;243725.9;117986.3
randomSelect;25400;82912.04;43072.22
select;25500;240323.78;117802.34
randomSelect;25500;76800.56;37569.24
