type;n;comps;swaps;time
select7;4000;36823.14;19598.0;0.12409281969070435
select9;4000;38986.42;22171.64;0.12272767961025238
select3;4100;42049.82;19329.86;0.16349563837051392
select5;4100;36933.1;18386.82;0.17508229970932007
select7;4100;38099.66;20235.96;0.1280707198381424
select9;4100;39668.34;22814.86;0.12491413950920105
select3;4200;42613.84;19711.6;0.16168775737285615
select5;4200;38272.66;18893.14;0.1384585404396057
select7;4200;38797.16;20670.36;0.13137122213840485
select9;4200;40765.66;23258.84;0.12846557855606078
select3;4300;44103.02;20275.58;0.1656699389219284
select5;4300;39285.36;19354.54;0.14108575999736786
select7;4300;39545.0;21156.34;0.133859241604805
select9;4300;41957.18;23912.78;0.13135729730129242
select3;4400;45466.04;20732.12;0.16941268026828765
select5;4400;39940.74;19650.14;0.14414077639579773
select7;4400;40988.62;21642.16;0.13754654228687285
select9;4400;42734.52;24477.38;0.13369655787944792
select3;4500;46109.96;21247.08;0.17327671885490417
select5;4500;41406.7;20331.2;0.14850180089473725
select7;4500;41970.42;22155.06;0.14109665751457215
select9;4500;44012.4;24977.0;0.13764600336551666
select3;4600;47383.86;21863.9;0.1786355781555176
select5;4600;42106.08;20623.8;0.15079485952854157
select7;4600;42175.64;22686.5;0.14278523921966552
select9;4600;45127.82;25564.58;0.14082871973514557
select3;4700;48257.56;22341.88;0.1830318796634674
select5;4700;43110.68;21057.42;0.15373709917068482
select7;4700;43427.5;23166.5;0.1457408219575882
select9;4700;45830.52;26230.4;0.14345574080944062
select3;4800;49911.12;22926.08;0.18654063880443572
select5;4800;43935.24;21630.9;0.15692022025585176
select7;4800;44820.94;23476.22;0.1487642627954483
select9;4800;46775.74;26771.84;0.14604799926280976
select3;4900;50999.64;23242.86;0.19555667638778687
select5;4900;44639.58;21985.78;0.1639408826828003
select7;4900;45716.98;24082.96;0.1540713220834732
select9;4900;47877.84;27190.32;0.15013329744338988
select3;5000;52064.96;23767.24;0.19418352246284484
select5;5000;46232.56;22668.64;0.16450933933258058
select7;5000;46196.22;24593.68;0.154930979013443
select9;5000;49035.14;27898.66;0.1531297618150711
select3;5100;52740.5;24281.7;0.19778505980968475
select5;5100;47290.42;23074.62;0.16813520193099976
select7;5100;47380.5;25180.66;0.15836537897586822
select9;5100;49842.26;28399.4;0.15545758128166198
select3;5200;52909.52;24498.14;0.2000352621078491
