type;n;comps;swaps;time
quickselect;9600;934976.98;399740.44;3.122530200000002
quicksort;9600;148681.9;82119.5;0.5377748400000002
quickselect;9700;949026.04;408505.66;3.1926241799999993
quicksort;9700;150623.92;82754.86;0.5430999
quickselect;9800;964661.32;414593.72;3.217493580000001
quicksort;9800;152443.78;83916.46;0.54867504
quickselect;9900;973665.8;418407.46;3.2544827599999997
quicksort;9900;154711.6;83460.36;0.55467956
quickselect;10000;988088.42;423958.8;3.3046948200000013
quicksort;10000;156190.5;86745.46;0.5614582199999999
